id,name,height,weight,base_experience,order,is_default,location_area_encounters,abilities,types,moves,stats,held_items,cries,forms,game_indices,sprites,species,past_abilities,past_types
1,bulbasaur,7,69,64,1,True,https://pokeapi.co/api/v2/pokemon/1/encounters,"overgrow, chlorophyll","grass, poison","razor-wind, swords-dance, cut, bind, vine-whip","{""hp"": 45, ""attack"": 49, ""defense"": 49, ""special-attack"": 65, ""special-defense"": 65, ""speed"": 45}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/1.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/1.ogg""}",bulbasaur,"153, 153, 153, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,bulbasaur,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
2,ivysaur,10,130,142,2,True,https://pokeapi.co/api/v2/pokemon/2/encounters,"overgrow, chlorophyll","grass, poison","swords-dance, cut, bind, vine-whip, headbutt","{""hp"": 60, ""attack"": 62, ""defense"": 63, ""special-attack"": 80, ""special-defense"": 80, ""speed"": 60}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/2.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/2.ogg""}",ivysaur,"9, 9, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,ivysaur,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
3,venusaur,20,1000,236,3,True,https://pokeapi.co/api/v2/pokemon/3/encounters,"overgrow, chlorophyll","grass, poison","swords-dance, cut, bind, vine-whip, headbutt","{""hp"": 80, ""attack"": 82, ""defense"": 83, ""special-attack"": 100, ""special-defense"": 100, ""speed"": 80}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/3.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/3.ogg""}",venusaur,"154, 154, 154, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,venusaur,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
4,charmander,6,85,62,5,True,https://pokeapi.co/api/v2/pokemon/4/encounters,"blaze, solar-power",fire,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance","{""hp"": 39, ""attack"": 52, ""defense"": 43, ""special-attack"": 60, ""special-defense"": 50, ""speed"": 65}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/4.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/4.ogg""}",charmander,"176, 176, 176, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,charmander,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
5,charmeleon,11,190,142,6,True,https://pokeapi.co/api/v2/pokemon/5/encounters,"blaze, solar-power",fire,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance","{""hp"": 58, ""attack"": 64, ""defense"": 58, ""special-attack"": 80, ""special-defense"": 65, ""speed"": 80}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/5.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/5.ogg""}",charmeleon,"178, 178, 178, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,charmeleon,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
6,charizard,17,905,240,7,True,https://pokeapi.co/api/v2/pokemon/6/encounters,"blaze, solar-power","fire, flying","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","{""hp"": 78, ""attack"": 84, ""defense"": 78, ""special-attack"": 109, ""special-defense"": 85, ""speed"": 100}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/6.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/6.ogg""}",charizard,"180, 180, 180, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,charizard,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
7,squirtle,5,90,63,10,True,https://pokeapi.co/api/v2/pokemon/7/encounters,"torrent, rain-dish",water,"mega-punch, ice-punch, mega-kick, headbutt, tackle","{""hp"": 44, ""attack"": 48, ""defense"": 65, ""special-attack"": 50, ""special-defense"": 64, ""speed"": 43}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/7.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/7.ogg""}",squirtle,"177, 177, 177, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,squirtle,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
8,wartortle,10,225,142,11,True,https://pokeapi.co/api/v2/pokemon/8/encounters,"torrent, rain-dish",water,"mega-punch, ice-punch, mega-kick, headbutt, tackle","{""hp"": 59, ""attack"": 63, ""defense"": 80, ""special-attack"": 65, ""special-defense"": 80, ""speed"": 58}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/8.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/8.ogg""}",wartortle,"179, 179, 179, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,wartortle,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
9,blastoise,16,855,239,12,True,https://pokeapi.co/api/v2/pokemon/9/encounters,"torrent, rain-dish",water,"mega-punch, ice-punch, mega-kick, headbutt, tackle","{""hp"": 79, ""attack"": 83, ""defense"": 100, ""special-attack"": 85, ""special-defense"": 105, ""speed"": 78}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/9.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/9.ogg""}",blastoise,"28, 28, 28, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,blastoise,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
10,caterpie,3,29,39,14,True,https://pokeapi.co/api/v2/pokemon/10/encounters,"shield-dust, run-away",bug,"tackle, string-shot, snore, bug-bite, electroweb","{""hp"": 45, ""attack"": 30, ""defense"": 35, ""special-attack"": 20, ""special-defense"": 20, ""speed"": 45}",,"{""latest"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/10.ogg"", ""legacy"": ""https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/legacy/10.ogg""}",caterpie,"123, 123, 123, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,caterpie,"[{""abilities"": [{""ability"": null, ""is_hidden"": true, ""slot"": 3}], ""generation"": {""name"": ""generation-iv"", ""url"": ""https://pokeapi.co/api/v2/generation/4/""}}]",[]
